File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF902PAE	fastq	fastq		reads		ENCSR887ZSY	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	1	/files/ENCFF423KUF/			872244754	Eric Lécuyer, IRCM	39bb028f894ac0217383546da3d21c58	SRA:SRR4422435	https://www.encodeproject.org/files/ENCFF902PAE/@@download/ENCFF902PAE.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/e0e8e8b5-bd38-4303-b899-2eb0c8b63178/ENCFF902PAE.fastq.gz					
ENCFF423KUF	fastq	fastq		reads		ENCSR887ZSY	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	2	/files/ENCFF902PAE/			904791569	Eric Lécuyer, IRCM	43b8457e60456de3eec1e49c531b6279	SRA:SRR4422435	https://www.encodeproject.org/files/ENCFF423KUF/@@download/ENCFF423KUF.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/8323fbae-6f2e-4898-8c1e-431e375fa333/ENCFF423KUF.fastq.gz					
ENCFF232QKC	fastq	fastq		reads		ENCSR813BDU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	1	/files/ENCFF859AWY/			1916989226	Eric Lécuyer, IRCM	5795ed14a2bd1a47c24faccc9372555e	SRA:SRR4422330	https://www.encodeproject.org/files/ENCFF232QKC/@@download/ENCFF232QKC.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/cab0a49a-480d-46cb-a71b-94c40fd89f47/ENCFF232QKC.fastq.gz					
ENCFF339UJI	fastq	fastq		reads		ENCSR813BDU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	2	/files/ENCFF765REV/			903891716	Eric Lécuyer, IRCM	2c7c5d0d2890c612fef0cf4d54923abb	SRA:SRR4422331	https://www.encodeproject.org/files/ENCFF339UJI/@@download/ENCFF339UJI.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/658913f0-b6d7-43e0-80a5-630a5f5058b6/ENCFF339UJI.fastq.gz					
ENCFF765REV	fastq	fastq		reads		ENCSR813BDU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	1	/files/ENCFF339UJI/			887018628	Eric Lécuyer, IRCM	37b0ddad8b2a508f6e099475f85a067e	SRA:SRR4422331	https://www.encodeproject.org/files/ENCFF765REV/@@download/ENCFF765REV.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/bfe50b18-126c-4e76-acf4-ee2841bb52b1/ENCFF765REV.fastq.gz					
ENCFF859AWY	fastq	fastq		reads		ENCSR813BDU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	2	/files/ENCFF232QKC/			1955231345	Eric Lécuyer, IRCM	e08dcc32f582106f341a82791454b507	SRA:SRR4422330	https://www.encodeproject.org/files/ENCFF859AWY/@@download/ENCFF859AWY.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/50635e25-1fa5-42f9-9d86-4354ef7e5899/ENCFF859AWY.fastq.gz					
ENCFF720EGG	fastq	fastq		reads		ENCSR061SFU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	2	/files/ENCFF802YBN/			1021707931	Eric Lécuyer, IRCM	9d0b13daee930a10451834656b9eaa4a	SRA:SRR4422645	https://www.encodeproject.org/files/ENCFF720EGG/@@download/ENCFF720EGG.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/f7aa91e0-73ee-4133-935f-bd0067b43238/ENCFF720EGG.fastq.gz					
ENCFF802YBN	fastq	fastq		reads		ENCSR061SFU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1	50		paired-ended	1	/files/ENCFF720EGG/			1000651954	Eric Lécuyer, IRCM	49d920414e15014645793620f5a6c251	SRA:SRR4422645	https://www.encodeproject.org/files/ENCFF802YBN/@@download/ENCFF802YBN.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/042a1d37-7ac1-4bd1-9611-7fa9e7537e0e/ENCFF802YBN.fastq.gz					
ENCFF646ZDN	fastq	fastq		reads		ENCSR061SFU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	2	/files/ENCFF417ZEN/			1085916440	Eric Lécuyer, IRCM	3918eeed32c47970127d3b28f28ae7ce	SRA:SRR4422644	https://www.encodeproject.org/files/ENCFF646ZDN/@@download/ENCFF646ZDN.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/3163d44d-77db-4d41-aac5-24730101218d/ENCFF646ZDN.fastq.gz					
ENCFF417ZEN	fastq	fastq		reads		ENCSR061SFU	total RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											RNA	rRNA	Trizol			reverse	2016-04-21	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1	50		paired-ended	1	/files/ENCFF646ZDN/			1060664296	Eric Lécuyer, IRCM	94e38662bbd6f12796470e206a1d4c4d	SRA:SRR4422644	https://www.encodeproject.org/files/ENCFF417ZEN/@@download/ENCFF417ZEN.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2015/02/21/041bcbf4-0322-489d-9132-a1cba64549e8/ENCFF417ZEN.fastq.gz					
